order_id,order_date,sku,product_name,unit_price,quantity,region,channel,customer_email
ORD1145,2026-02-17,sku-1009,Portable SSD 1TB,99.99,2,,In-Store,customer145@example.com
ORD1188,2026/03/31,SKU-1008,Monitor Arm,67.3,2,North,In-Store,
ORD1089,21/01/2026,SKU-1002,Mechanical Keyboard,89.99,1,South,online,customer89@example.com
ORD1103,02/03/2026,SKU-1008,Monitor Arm,67.3,2,West,in-store,customer103@example.com
ORD1049,2026/02/16,SKU-1004,Laptop Stand,45.0,5,north,Online,customer49@example.com
ORD1005,03-19-2026,SKU-1006,Noise Cancelling Headphones,129.99,0,north,online,customer5@example.com
ORD1144,03-18-2026,SKU-1005,Webcam 1080p,59.99,2,South,In-Store,customer144@example.com
ORD1037,03-29-2026,SKU-1004,Laptop Stand,45.0,3,,online,customer37@example.com
ORD1132,2026-01-27,SKU-1010,Bluetooth Speaker,41.2,2,north,in-store,customer132@example.com
ORD1176,21/01/2026,SKU-1007,Desk Lamp,22.75,2,,Online,
ORD1086,20/01/2026,SKU-1001,Wireless Mouse,24.99,3,North,in-store,customer86@example.com
ORD1056,2026/04/10,SKU-1002,Mechanical Keyboard,89.99,0,North,phone,customer56@example.com
ORD1143,03-13-2026,SKU-1010,Bluetooth Speaker,41.2,-1,East,In-Store,customer143@example.com
ORD1029,2026-04-05,SKU-1010,Bluetooth Speaker,41.2,1,North,phone,customer29@example.com
ORD1022,07/03/2026,SKU-1002,Mechanical Keyboard,89.99,0,South,phone,customer22@example.com
ORD1162,01-08-2026,SKU-1010,Bluetooth Speaker,41.2,3,West,In-Store,
ORD1195,2026/01/10,SKU-1001,Wireless Mouse,24.99,2,North,in-store,customer195@example.com
ORD1090,2026-02-07,SKU-1008,Monitor Arm,67.3,3,N/A,In-Store,
ORD1158,2026-03-07,SKU-1002,Mechanical Keyboard,89.99,2,,Online,customer158@example.com
ORD1178,2026/01/19,sku-1009,Portable SSD 1TB,99.99,2,,In-Store,customer178@example.com
